-1.846603	-1.278344	-3.172684	0.343354	1.004144	-3.492526	-1.562470	3.030187	-0.599272	3.825185	-3.212642	-0.990050	1.450091	0.298077	-3.855829
-2.657200	-1.514836	-0.099884	2.784467	1.313144	-2.376879	0.065719	2.865795	-1.329217	0.693181	-0.200376	0.091510	-0.237083	2.362251	-0.352270
-2.282875	-3.836001	-3.401817	0.189287	0.910672	-2.859316	-0.944963	-0.523457	-2.107335	2.015219	-1.562050	-1.880970	2.811502	1.836552	0.872707
-2.954653	-4.236923	-0.518723	0.947159	2.439642	-4.837184	1.252083	0.192641	-3.262061	2.909683	-1.329101	-1.876812	2.160290	0.000492	0.316524
-3.641358	-0.245618	-0.001798	0.761180	2.714770	-4.817778	-1.871472	0.412016	-2.532031	2.692106	-2.022295	-3.305149	1.062382	1.323267	-0.407367
0.044302	-4.808165	-2.072486	-0.451792	0.371762	-1.101642	-2.289616	0.340774	-0.552386	0.214805	2.082719	-0.791406	-0.150138	2.049918	0.360612
-0.864736	0.195791	-0.187163	1.684028	1.427018	-1.225368	0.636852	-2.152493	-0.261949	-0.458365	0.066288	-2.268905	-3.130852	-0.331413	-0.221182
-3.857866	-2.255236	-1.678660	2.457770	4.114321	-2.605267	-1.768037	1.191708	-1.976862	2.407116	-4.993262	-1.104677	4.380710	0.953869	0.765872
-3.646065	-0.783428	-0.197298	0.175942	2.183519	-2.378331	-2.908468	2.674432	-1.419764	1.353347	-2.120815	-0.420996	1.397887	1.531431	-0.172551
-0.031975	-0.053266	0.540145	0.414336	2.104496	-1.391553	-0.777112	-0.409324	-0.309060	0.073384	0.291551	0.446338	-0.536277	2.035527	-0.091499
0.323160	-4.474251	-1.133750	0.439251	-0.096292	-1.770951	0.758281	-1.669688	-2.824327	3.436822	-1.118916	0.316101	1.063189	1.275936	-1.362639
0.400138	-0.157270	-0.650812	0.801301	3.209234	0.220889	-0.459473	1.504963	-3.922626	1.040983	-1.379194	-2.103631	1.839731	2.701039	0.416316
-4.324977	-2.422368	0.833441	0.056777	3.119193	-2.689570	-2.982846	1.905805	-0.939983	1.108663	-0.395003	-2.105268	1.797234	1.633318	-1.244624
-0.675336	-2.369818	-2.368407	2.783926	2.905582	1.449031	1.705512	-1.278984	-2.622921	1.897402	0.371253	-1.035891	3.776018	-0.610014	-1.472085
